"state","stationary_probability","hitting_time_to_state_2","absorbing_hitting_time","viterbi_state","baum_welch_t00","baum_welch_t01"
0,0.181818181818182,2.75,6.66666666666667,0,0.526094613449729,0.473905386550271
1,0.454545454545454,2.625,4.66666666666667,0,0.526094613449729,0.473905386550271
2,0.363636363636364,0,0,1,0.526094613449729,0.473905386550271
