omega,magnitude,phase
0.0,1.0000000000000002,0.0
0.012319971190548208,0.999999999999992,-0.049543997797781285
0.024639942381096416,0.9999999999978637,-0.09910652547428327
0.036959913571644624,0.9999999999452024,-0.14870618947923317
0.04927988476219283,0.9999999994522503,-0.19836175123406583
0.06159985595274104,0.9999999967321799,-0.24809220916935212
0.07391982714328925,0.9999999859333144,-0.29791688615982764
0.08623979833383746,0.9999999516565315,-0.34785552404657516
0.09855976952438567,0.9999998590928065,-0.3979283868368042
0.11087974071493388,0.9999996378393737,-0.448156374041082
0.12319971190548208,0.9999991570590651,-0.4985611454408674
0.1355196830960303,0.9999981892326473,-0.5491652583692886
0.1478396542865785,0.9999963593152955,-0.5999923183269397
0.1601596254771267,0.9999930756427737,-0.6510671434312777
0.17247959666767493,0.9999874384385145,-0.7024159427992976
0.18479956785822313,0.9999781212489873,-0.7540665084710215
0.19711953904877133,0.9999632200837841,-0.8060484198738929
0.20943951023931953,0.9999400644654094,-0.8583932590775704
0.22175948142986776,0.999904984015459,-0.9111348341602075
0.23407945262041596,0.9998530236433353,-0.9643094068585105
0.24639942381096416,0.9997775999012025,-1.0179559192530372
0.25871939500151236,0.9996700906878578,-1.0721162124863615
0.2710393661920606,0.9995193503201786,-1.1268352283546346
0.28335933738260877,0.9993111421830884,-1.1821611819753348
0.295679308573157,0.9990274819156729,-1.2381456905354957
0.3079992797637052,0.9986458856653788,-1.2948438392908883
0.3203192509542534,0.9981385207110067,-1.3523141614632102
0.3326392221448016,0.9974712601953015,-1.4106185034576546
0.34495919333534986,0.996602650415978,-1.4698217409629122
0.35727916452589803,0.995482808810586,-1.5299913051914218
0.36959913571644626,0.994052284224448,-1.5911964721537986
0.38191910690699443,0.992240929052484,-1.6535073620997676
0.39423907809754266,0.9899668560029924,-1.7169935921371093
0.4065590492880909,0.9871355807045948,-1.7817225240771173
0.41887902047863906,0.9836394844644453,-1.8477570538225965
0.4311989916691873,0.9793577670576309,-1.9151529007475412
0.4435189628597355,0.9741570932519504,-1.9839553785780881
0.4558389340502837,0.9678931618530238,-2.054195666387404
0.4681589052408319,0.9604134322532046,-2.1258866519198225
0.4804788764313801,0.9515612178389655,-2.1990184902417336
0.4927988476219283,0.9411812840186087,-2.273554106095389
0.5051188188124766,0.929126959171942,-2.349424960852231
0.5174387900030247,0.915268575206255,-2.4265274911079144
0.5297587611935729,0.8995028105451293,-2.5047206862186977
0.5420787323841212,0.8817622421255783,-2.583825283209646
0.5543987035746694,0.8620241755820404,-2.663624997604531
0.5667186747652175,0.840317680448283,-2.743870064802795
0.5790386459557658,0.8167277748848925,-2.8242831424787935
0.591358617146314,0.7913959225976349,-2.9045673459400185
0.6036785883368622,0.7645164168079639,-2.9844159020597636
0.6159985595274104,0.7363287687733615,-3.063522671188435
0.6283185307179586,0.707106781186547,-3.141592653589793
0.6406385019085068,0.677145443954134,3.064833708005326
0.6529584730990551,0.6467470402721173,2.9896313311168843
0.6652784442896033,0.6162078506127379,2.9161965150060367
0.6775984154801514,0.5858066147620671,2.844702256262498
0.6899183866706997,0.5557955339548353,2.7752824077283442
0.7022383578612479,0.5263941655487456,2.7080325574160575
0.7145583290517961,0.4977861713837571,2.643012513189901
0.7268783002423443,0.47011858726705347,2.5802499144881814
0.7391982714328925,0.4435031074865835,2.5197445054378207
0.7515182426234407,0.4180188169234778,2.4614726651365046
0.7638382138139889,0.39371582794175247,2.4053918774683583
0.7761581850045371,0.37061935753026715,2.351444915235432
0.7884781561950853,0.3487338827814661,2.299563598316107
0.8007981273856335,0.3280471177214018,2.249672055729032
0.8131180985761818,0.30853364809508144,2.201689474436355
0.82543806976673,0.2901581364396864,2.155532354223915
0.8377580409572781,0.27287806622455385,2.1111163105448916
0.8500780121478264,0.25664603264418856,2.0683574789332884
0.8623979833383746,0.24141161191375396,2.0271735785403004
0.8747179545289228,0.2271228540954821,1.9874846911424
0.887037925719471,0.21372744978091313,1.949213807672942
0.8993578969100192,0.2011736210262674,1.912287188443276
0.9116778681005674,0.18941078383120458,1.8766345767733605
0.9239978392911157,0.17839002464188725,1.8421892994001945
0.9363178104816638,0.16806442785428669,1.8088882811546183
0.948637781672212,0.15838928573729735,1.7766719961817703
0.9609577528627602,0.14932221696820716,1.7454843734912546
0.9732777240533085,0.14082321527397046,1.7152726708468593
0.9855976952438567,0.13285464557944768,1.685987327886423
0.9979176664344048,0.12538120158296137,1.657581806824204
