 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00 -3.16820076e-02 -3.16820076e-02
 1.95694716e-03 6.14415267e-02 4.80951695e-01 5.35916484e-01 1.72229563e-01 1.42131656e-01
 3.91389432e-03 1.22656496e-01 8.63217826e-01 9.04874779e-01 -1.41925996e-01 -6.90092236e-03
 5.87084149e-03 1.83419017e-01 1.05043105e+00 9.92125048e-01 -9.72576771e-02 -1.03813553e-01
 7.82778865e-03 2.43504525e-01 9.90206002e-01 7.70881404e-01 1.55773654e-01 5.71507787e-02
 9.78473581e-03 3.02690446e-01 6.88504000e-01 3.10417580e-01 -1.72154654e-01 -1.17861415e-01
 1.17416830e-02 3.60756860e-01 2.10226754e-01 -2.45911667e-01 -1.20811099e-01 -2.32779443e-01
 1.36986301e-02 4.17487155e-01 -3.34596117e-01 -7.25633897e-01 -9.09843508e-02 -3.12124822e-01
 1.56555773e-02 4.72668684e-01 -8.16133185e-01 -9.80845448e-01 -7.98785107e-02 -3.76397092e-01
 1.76125245e-02 5.26093416e-01 -1.11576196e+00 -9.33777813e-01 2.65819232e-03 -3.54919045e-01
 1.95694716e-02 5.77558579e-01 -1.15533944e+00 -6.00164211e-01 -2.93943316e-02 -3.66567424e-01
 2.15264188e-02 6.26867304e-01 -9.17493918e-01 -8.34683122e-02 -7.27220707e-02 -4.20961124e-01
 2.34833659e-02 6.73829257e-01 -4.51680713e-01 4.57784146e-01 -3.70292421e-02 -4.36942310e-01
 2.54403131e-02 7.18261264e-01 1.35913184e-01 8.59045693e-01 9.76896487e-02 -3.17405545e-01
 2.73972603e-02 7.59987932e-01 7.06613492e-01 9.99814686e-01 -4.55105962e-02 -3.47045864e-01
 2.93542074e-02 7.98842253e-01 1.12211153e+00 8.39434651e-01 -5.40975954e-02 -3.83791167e-01
 3.13111546e-02 8.34666207e-01 1.27811318e+00 4.28082384e-01 8.56456418e-02 -2.78955966e-01
 3.32681018e-02 8.67311341e-01 1.13056422e+00 -1.09766444e-01 -9.97898604e-02 -3.64798029e-01
 3.52250489e-02 8.96639346e-01 7.07841638e-01 -6.13708605e-01 -1.49287677e-01 -4.95845804e-01
 3.71819961e-02 9.22522616e-01 1.05580953e-01 -9.35557251e-01 8.72258097e-03 -4.62330933e-01
 3.91389432e-02 9.44844785e-01 -5.35008328e-01 -9.82683904e-01 -5.78873895e-02 -4.97101775e-01
 4.10958904e-02 9.63501254e-01 -1.06041452e+00 -7.43928621e-01 9.53848697e-02 -3.76861817e-01
 4.30528376e-02 9.78399695e-01 -1.34180559e+00 -2.91059547e-01 3.24651498e-02 -3.25553576e-01
 4.50097847e-02 9.89460536e-01 -1.30676458e+00 2.43805822e-01 -8.60323345e-02 -3.95308232e-01
